data,timestamp (ms),timestamp (formatted)
"1628698156.321504,12,1628698155.542851,55.8283579895026,-4.280231379124242,22.3779,-1,-1,10,65,-9999,1628698156.311558,-0.6644706726074219,-16.68579864501953,-48.60655212402344,136.3878021240234,138.1419525146484,12.10238170623779,197423.9486560417,0.003387451171875,-0.0405426025390625,-0.99462890625,197423.3531055417,0.001692172489129007,0.005708485841751099,-0.00373588246293366,197423.9327110417,63.07621765136719,-77.27809143066406,-113.9360656738281,197423.5830335417,-0.1026885092519084,0.002742946277652475,0.04083209160488887,-0.0006369634065777063,0.0001839934848248959,-0.0002630357630550861,-0.0002382127568125725,0.001163143664598465,0.007616102695465088,2,0.02045807739219859,0.0003216675073029326,-0.05128299424699706,0.9984745298852927,0.002740656491369009,-0.04082074761390686,-0.9991627335548401,-0.124481201171875,-16.45433807373047,-48.12276458740234,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197420.745283,0,-0.5416756,100.7323,1628698146.071426,3232235814,168305893,0,0,5,162869814",1628698156.310454,Wed Aug 11 16:09:16 2021
"5.07049,1,0.77,1628698155.632777,-19.23676,-42.51419,0
",1628698156.315905,Wed Aug 11 16:09:16 2021
"1628698157.326689,13,1628698155.542851,55.8283579895026,-4.280231379124242,22.3779,-1,-1,10,65,-9999,1628698157.316696,-0.2434425354003906,-16.48392486572266,-48.20086669921875,136.3806915283203,138.1348419189453,12.10258960723877,197424.953803375,0.00128173828125,-0.0401153564453125,-0.99444580078125,197424.3532310417,0.005251220893114805,0.00487305223941803,-0.003093261504545808,197424.927026375,63.24072265625,-77.05923461914062,-113.5625457763672,197424.5881830417,-0.1027902203990007,0.00302140143812963,0.04099715608401959,0.003492881543934345,-0.001590918749570847,-0.002159395953640342,-0.0006995201110839844,-0.0002435855567455292,0.004404187202453613,2,0.02054764443499128,0.0004554005453515251,-0.0513307072770493,0.9984702820783137,0.003018858144059777,-0.04098567366600037,-0.9991551637649536,-0.5771369934082031,-16.53025817871094,-48.11390686035156,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197421.815034,0,-0.5443153,100.7324,1628698146.071426,3232235814,168305893,0,0,5,1628698145.070",1628698157.418316,Wed Aug 11 16:09:17 2021
"49,1,0.77,1628698156.61746,-43.30044,-51.43954,0
",1628698157.424641,Wed Aug 11 16:09:17 2021
"1628698158.331682,14,1628698155.542851,55.8283579895026,-4.280231379124242,22.3779,-1,-1,10,65,-9999,1628698158.32207,-0.5635490417480469,-16.57881164550781,-48.4713134765625,136.3816223144531,138.1357727050781,12.10273456573486,197425.958952125,0.0018157958984375,-0.041107177734375,-0.993072509765625,197425.353350375,0.006611297372728586,0.007326089777052402,-0.001218662480823696,197425.951513125,63.69017028808594,-76.94964599609375,-113.63916015625,197425.593330375,-0.1026283262309612,0.00309949072677118,0.04091747074544178,-0.000518003711476922,-0.0009820861741900444,0.0009349719621241093,-0.0003960831090807915,-0.0002011321485042572,0.005215942859649658,2,0.02050982721064365,0.0004980932799978329,-0.05124918617626972,0.9984752046909118,0.003096891567111015,-0.04090605303645134,-0.9991582036018372,-0.5882225036621094,-16.58749389648438,-48.11769104003906,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197422.884737,0,-0.5443153,100.7324,1628698146.071426,3232235814,168305893,0,0,5,1628698145.",1628698158.347793,Wed Aug 11 16:09:18 2021
"07049,1,0.77,1628698157.617837,-39.85646,-53.70093,0
",1628698158.359575,Wed Aug 11 16:09:18 2021
"1628698159.346294,15,1628698155.542851,55.8283579895026,-4.280231379124242,22.3779,-1,-1,10,65,-9999,1628698159.327015,-0.5615653991699219,-16.31795501708984,-47.97885131835938,136.3777465820312,138.1318969726562,12.10282802581787,197426.9641015,0.0028228759765625,-0.041412353515625,-0.9944000244140625,197426.353475125,0.003526557935401797,0.008291752077639103,-0.0009598032338544726,197426.9458665,63.08882141113281,-76.8857421875,-113.2820129394531,197426.598479125,-0.1026449846516054,0.003098285833880818,0.0409687868829904,0.00288705388084054,0.003312683664262295,-0.0004195775836706161,0.001069970428943634,0.001192916184663773,0.00580894947052002,2,0.02053541955779519,0.0004960041102689706,-0.05125744899614176,0.998474244011161,0.003095681080594659,-0.04095732793211937,-0.99915611743927,-0.1816177368164062,-16.41780853271484,-47.99752044677734,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197423.954463,0,-0.5443153,100.7324,1628698146.071426,3232235814,168305893,0,0,5,1628698145.07049,1,0.77,",1628698159.350114,Wed Aug 11 16:09:19 2021
"1628698158.630529,-44.37236,-53.37216,0
",1628698159.353216,Wed Aug 11 16:09:19 2021
"1628698160.342182,16,1628698155.542851,55.8283579895026,-4.280231379124242,22.3779,-1,-1,10,65,-9999,1628698160.332216,-0.24407958984375,-16.62368011474609,-48.09746551513672,136.3840026855469,138.1381530761719,12.10293865203857,197427.969250875,0.0032806396484375,-0.0415496826171875,-0.99285888671875,197427.3535975,0.002794987522065639,0.006265885196626186,-0.00376064982265234,197427.940201875,63.54316711425781,-77.07315063476562,-113.3057708740234,197427.6036285,-0.1026722813971679,0.003011104288231241,0.04103262215781215,0.0008131398353725672,-0.001017644070088863,-0.001027586171403527,0.0009739806409925222,-0.001596692949533463,0.005531966686248779,2,0.02056505998361985,0.0004505611734623143,-0.05127188964780766,0.99847292279358,0.003008565166965127,-0.04102110862731934,-0.999153733253479,-0.284515380859375,-16.62466430664062,-48.16189575195312,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197425.024158,0,-0.5469589,100.7324,1628698146.071426,3232235814,168305893,0,0,5,1628698145.07049,1,0",1628698160.411719,Wed Aug 11 16:09:20 2021
".77,1628698159.618241,-42.07923,-54.81812,0
",1628698160.424642,Wed Aug 11 16:09:20 2021
"1628698161.347263,17,1628698155.542851,55.8283579895026,-4.280231379124242,22.3779,-1,-1,10,65,-9999,1628698161.33713,-0.3429603576660156,-16.33005523681641,-48.49433898925781,136.3973541259766,138.1515045166016,12.10306739807129,197428.9743992917,0.0027618408203125,-0.041961669921875,-0.9915008544921875,197428.353722875,0.004522580187767744,0.009488842450082302,-0.003729757154360414,197428.9646622917,63.48953247070312,-76.72084045410156,-113.8354339599609,197428.608777875,-0.1028515207912735,0.003203091644985136,0.04100107375429611,-0.000487353652715683,0.001914528664201498,-0.0007205139845609665,0.0009499983862042427,0.001179397106170654,0.003854155540466309,2,0.0205542804305704,0.0005453759705666564,-0.05135943943803994,0.9984686044085536,0.003200394101440907,-0.04098958522081375,-0.9991544485092163,-0.6735496520996094,-16.41719818115234,-48.03146362304688,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197426.093819,0,-0.5469589,100.7324,1628698146.071426,3232235814,168305893,0,0,5,162869814",1628698161.344895,Wed Aug 11 16:09:21 2021
"5.07049,1,0.77,1628698160.617302,-29.9897,-45.23958,0
",1628698161.350525,Wed Aug 11 16:09:21 2021
"1628698162.352208,18,1628698155.542851,55.8283579895026,-4.280231379124242,22.3779,-1,-1,10,65,-9999,1628698162.342376,-0.3253021240234375,-16.22844696044922,-48.02214050292969,136.4013977050781,138.1555480957031,12.10321998596191,197429.979548875,0.00604248046875,-0.0397186279296875,-0.9938507080078125,197429.3538432917,0.002728408435359597,0.006042978726327419,-0.003239469137042761,197429.959046875,63.44123840332031,-76.83157348632812,-113.18603515625,197429.6139262917,-0.1030039670089714,0.003690356092217899,0.04092434809101969,0.001602477859705687,-0.001790747977793217,0.0002864447887986898,0.002126342616975307,0.001301102340221405,0.005335748195648193,2,0.02052854860862892,0.0007890433186555764,-0.05143064684469334,0.9984653196992324,0.003687257878482342,-0.040912926197052,-0.9991559386253357,-0.1858367919921875,-16.35383605957031,-48.50348663330078,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197427.16352,0,-0.5363884,100.7323,1628698146.071426,3232235814,168305893,0,0,5,1628698145.0704",1628698162.35,Wed Aug 11 16:09:22 2021
"9,1,0.77,1628698161.63086,-33.06181,-45.67219,0
",1628698162.353615,Wed Aug 11 16:09:22 2021
"1628698163.372523,19,1628698155.542851,55.8283579895026,-4.280231379124242,22.3779,-1,-1,10,65,-9999,1628698163.367665,-0.1714973449707031,-16.56159210205078,-48.13799285888672,136.4079742431641,138.1621246337891,12.10338115692139,197430.984697375,-0.0001068115234375,-0.04547119140625,-0.98492431640625,197430.353969875,0.003028014209121466,0.007102650590240955,-0.0008620652370154858,197430.983587375,63.61190795898438,-77.17759704589844,-113.6896362304688,197430.619075875,-0.1030506348036754,0.003654845141137234,0.04099387654479907,0.001842620316892862,-0.002055803779512644,0.0004467396065592766,0.0005444036796689034,-0.0004147067666053772,0.004829466342926025,2,0.02056236522933153,0.0007690446656525105,-0.05145421209013123,0.9984633707960744,0.003651766572147608,-0.04098239541053772,-0.999153196811676,-0.182342529296875,-16.08648681640625,-48.15238952636719,-1,2,197415.328132875,2,2,1628698147.700558,0,0,0,0,0,0,0,0,0,197428.233205,0,-0.5231781,100.7321,1628698146.071426,3232235814,168305893,0,0,5,1628698145.",1628698163.465099,Wed Aug 11 16:09:23 2021
"07049,1,0.77,1628698162.618212,-24.77401,-36.83918,0
",1628698163.469443,Wed Aug 11 16:09:23 2021
